"","F","Catch","SSB"
"ES-Fstable",1.97856073732826,1.03427382722141,0.701230692464225
"AIM",1.98075177646127,1.03662819388997,0.694447931011919
"ES-FM",1.75415191188212,0.934022123419083,0.746312778254012
"ES-FSPR",1.71046003143854,0.930519477580716,0.742116051350489
"Ensemble",1.39014510298308,0.901576975082139,0.920179223367028
"Itarget",1.25522504878356,0.874908246893984,0.973840795396184
"PBS",0.54893540912854,0.65421313076844,1.56368761388869
"ES-Frecent",0.654499346530865,0.674686732674069,1.42220998499654
"SCAA",0.474967635975412,0.763716962387639,1.24868787943141
"Islope",0.866721689967357,0.703489860117124,1.23020441480164
"CC-FSPR",0.310768712547642,0.472611930019824,1.78850133575002
"CC-FM",0.313347105065545,0.46980479489594,1.78171719713636
"DLM",0.420698028933475,0.520744621245382,1.71646894245899
"Skate",3.78411723730926,1.02577441845978,0.537294962740634
